,pu_001,pu_002,pu_003,pu_004,pu_005,pu_006,pu_007,pu_008,pu_009,pu_010,pu_011,pu_012,pu_013,pu_014,pu_015,pu_016,pu_017,pu_018,pu_019,pu_020,pu_021,pu_022,pu_023,pu_024,pu_025,pu_026,pu_027,pu_028,pu_029,pu_030,pu_031,pu_032,pu_033,pu_034,pu_035,pu_036,pu_037,pu_038,pu_039,pu_040,pu_041,pu_042,pu_043,pu_044,pu_045,pu_046,pu_047,pu_048,pu_049,pu_050,pu_051,pu_052,pu_053,pu_054,pu_055,pu_056,pu_057,pu_058,pu_059,pu_060,pu_061,pu_062,pu_063,pu_064,pu_065,pu_066,pu_067,pu_068,pu_069,pu_070,pu_071,pu_072,pu_073,pu_074,pu_075,pu_076,pu_077,pu_078,pu_079,pu_080
pu_001,0.1544672375,0.1544672375,0.1544672375,0.1110653545,0.0774036857,0.0452100768,0.0267019699,0.0267019699,0.1544672375,0.1544672375,0.1515586562,0.0774036857,0.072976417,0.0267019699,0.0267019699,0,0.1544672375,0.1544672375,0.1544672375,0.1105632272,0.0774037228,0.0445921244,0.0267021442,0.0267021485,0.1544672375,0.1544672375,0.1515586585,0.0774037466,0.0729764975,0.0267022559,0.0267022559,0,0.1170948082,0.1170948082,0.1170948082,0.08634353930000001,0.0629005104,0.0362371362,0.0215528489,0.0217919138,0.0543941308,0.0543941308,0.0537968133,0.0385680614,0.0363279127,0.0129135575,0.0129135575,0,0.0475987342,0.0475987342,0.0475987342,0.0397095534,0.0336177883,0.0193030065,0.01112284,0.0117514191,0.0054529261,0.0054529261,0.0053578083,0.0029156425,0.0026650584000000002,1.66104e-05,1.93656e-05,0,0.0053898933,0.0053898933,0.0053898933,0.0039597238,0.0028697247,0.0010196469,0.0,0.0,0.0053898933,0.0053898933,0.0053898933,0.0028697247,0.0028676149,0.0,0.0,0
pu_002,0.1408228882,0.1408228882,0.1408228882,0.1186152622,0.1013914529,0.062869044,0.0407225097,0.0407225097,0.1408228882,0.1408228882,0.13933464210000002,0.1013914529,0.09609384700000001,0.0407225097,0.0407225097,0,0.1408228882,0.1408228882,0.1408228882,0.11835833650000001,0.1013914719,0.0621295356,0.040722615000000004,0.040722617600000004,0.1408228882,0.1408228882,0.1393346432,0.1013914841,0.0960938905,0.0407226824,0.0407226824,0,0.10508949420000001,0.10508949420000001,0.10508949420000001,0.0893548616,0.0773596673,0.0482041512,0.032066732300000005,0.032468590900000004,0.0451386681,0.0451386681,0.0448330361,0.037040875800000005,0.0353384476,0.017544424,0.017544424,0,0.039291026900000005,0.039291026900000005,0.039291026900000005,0.0352543363,0.0321373369,0.0213089771,0.0151115463,0.015965537000000002,0.0030233041,0.0030233041,0.0029746348,0.0017250414,0.0015783826000000001,2.2566900000000002e-05,2.63102e-05,0,0.0029690624000000003,0.0029690624000000003,0.0029690624000000003,0.0022372816,0.0016795571,0.0005967663,0.0,0.0,0.0029690624000000003,0.0029690624000000003,0.0029690624000000003,0.0016795571,0.0016783223,0.0,0.0,0
pu_003,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.0813723462,0.055413419000000005,0.055413419000000005,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1203165994,0.055413419000000005,0.055413419000000005,0,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.0805054698,0.0554134519,0.055413452700000004,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1203166041,0.0554134729,0.0554134729,0,0.0925101655,0.0925101655,0.0925101655,0.0925101655,0.0925101655,0.060743349700000004,0.0430833199,0.0436557561,0.0354406704,0.0354406704,0.0354406704,0.0354406704,0.0343016729,0.0223967079,0.0223967079,0,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.0234108599,0.019290966,0.0203811461,0.00047751360000000004,0.00047751360000000004,0.00047751360000000004,0.00047751360000000004,0.00043974920000000003,2.88083e-05,3.35869e-05,0,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0001536665,0.0,0.0,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.00043216550000000004,0.0,0.0,0
pu_004,0.08647574820000001,0.1060333937,0.1265261564,0.1265261564,0.1265261564,0.1068027908,0.0954638272,0.0954638272,0.08647574820000001,0.1262624466,0.1265261564,0.1265261564,0.123813797,0.0954638272,0.0954638272,0,0.0864757667,0.1059812053,0.1265261564,0.1265261564,0.1265261564,0.1064241358,0.0954638416,0.0954638419,0.0864757786,0.1262624468,0.1265261564,0.1265261564,0.123813799,0.0954638508,0.0954638508,0,0.0646731645,0.0782436381,0.0925101655,0.0925101655,0.0925101655,0.0786342928,0.0709203209,0.0720597718,0.028094363100000002,0.035392299,0.0354406704,0.0354406704,0.0349431517,0.0297430152,0.0297430152,0,0.0242247259,0.027330972300000003,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.0274519264,0.025652340200000002,0.0270882522,0.0002248046,0.0004759098,0.00047751360000000004,0.00047751360000000004,0.00046101800000000005,0.0002815173,0.0002878113,0,0.0001889105,0.0003076692,0.0004324835,0.0004324835,0.0004324835,0.0003106951,0.00024357300000000002,0.00024357300000000002,0.0001889105,0.0004324835,0.0004324835,0.0004324835,0.0004323446,0.00024357300000000002,0.00024357300000000002,0
pu_005,0.055413419000000005,0.09013959960000001,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.055413419000000005,0.12605791830000002,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0,0.0554134519,0.0900469348,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.0554134729,0.1260579187,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0,0.0430833199,0.0671787929,0.0925101655,0.0925101655,0.0925101655,0.0925101655,0.0925101655,0.09408938210000001,0.0223967079,0.0353547831,0.0354406704,0.0354406704,0.0354406704,0.0354406704,0.0354406704,0,0.019290966,0.024806357600000002,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.032290155200000004,2.88083e-05,0.0004746659,0.00047751360000000004,0.00047751360000000004,0.00047751360000000004,0.00047751360000000004,0.00048498300000000003,0,0.0,0.00021086570000000002,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0
pu_006,0.0371827704,0.0655801511,0.09533530650000001,0.12289380670000001,0.1442676514,0.1442676514,0.1442676514,0.1442676514,0.0371827704,0.0949524042,0.097182142,0.1442676514,0.1442676514,0.1442676514,0.1442676514,0,0.0371828931,0.0655044348,0.0953353301,0.1232126615,0.1442676514,0.1442676514,0.1442676514,0.1442676514,0.037182971700000005,0.0949524439,0.09718217920000001,0.1442676514,0.1442676514,0.1442676514,0.1442676514,0,0.0294123119,0.0510008944,0.0737091912,0.0932350457,0.10812045320000001,0.10812045320000001,0.10812045320000001,0.1097986126,0.016375277900000002,0.0372878312,0.0378057148,0.0474753773,0.0474753773,0.0474753773,0.0474753773,0,0.014104525100000001,0.0230907294,0.0325111037,0.0375204253,0.041388458100000004,0.041388458100000004,0.041388458100000004,0.0435250934,2.10631e-05,0.0020125928,0.0020860263,0.0036367062,0.0036367062,0.0036367062,0.0036460717,0,0.0,0.000965405,0.0019800364000000003,0.0028881382000000002,0.0035802451,0.0035802451,0.0035802451,0.0035802451,0.0,0.0019800364000000003,0.0019800364000000003,0.0035802451,0.0035802451,0.0035802451,0.0035802451,0
pu_007,0.0267019699,0.0514609231,0.0774036857,0.1208055687,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267019699,0.0770698429,0.080312267,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0267021442,0.051394950700000004,0.0774037228,0.12130773310000001,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267022559,0.0770699052,0.0803123256,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0215528489,0.0417002199,0.0629005104,0.0936517793,0.1170948082,0.1170948082,0.1170948082,0.1188298498,0.0129135575,0.0383991406,0.0391653789,0.0543941308,0.0543941308,0.0543941308,0.0543941308,0,0.01112284,0.0221044147,0.0336177883,0.0415069691,0.0475987342,0.0475987342,0.0475987342,0.0499840598,1.66104e-05,0.0028967470000000003,0.0030107603,0.0054529261,0.0054529261,0.0054529261,0.0054633817000000005,0,0.0,0.0013991897000000001,0.0028697247,0.0042998941,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0.0,0.0028697247,0.0028697247,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0
pu_008,0.0267019699,0.0514609231,0.0774036857,0.1208055687,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267019699,0.0770698429,0.080312267,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0267021442,0.051394950700000004,0.0774037228,0.12130773310000001,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267022559,0.0770699052,0.0803123256,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0215528489,0.0417002199,0.0629005104,0.0936517793,0.1170948082,0.1170948082,0.1170948082,0.1188298498,0.0129135575,0.0383991406,0.0391653789,0.0543941308,0.0543941308,0.0543941308,0.0543941308,0,0.01112284,0.0221044147,0.0336177883,0.0415069691,0.0475987342,0.0475987342,0.0475987342,0.0499840598,1.66104e-05,0.0028967470000000003,0.0030107603,0.0054529261,0.0054529261,0.0054529261,0.0054633817000000005,0,0.0,0.0013991897000000001,0.0028697247,0.0042998941,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0.0,0.0028697247,0.0028697247,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0
pu_009,0.1544672375,0.1544672375,0.1544672375,0.1110653545,0.0774036857,0.0452100768,0.0267019699,0.0267019699,0.1544672375,0.1544672375,0.1515586562,0.0774036857,0.072976417,0.0267019699,0.0267019699,0,0.1544672375,0.1544672375,0.1544672375,0.1105632272,0.0774037228,0.0445921244,0.0267021442,0.0267021485,0.1544672375,0.1544672375,0.1515586585,0.0774037466,0.0729764975,0.0267022559,0.0267022559,0,0.1170948082,0.1170948082,0.1170948082,0.08634353930000001,0.0629005104,0.0362371362,0.0215528489,0.0217919138,0.0543941308,0.0543941308,0.0537968133,0.0385680614,0.0363279127,0.0129135575,0.0129135575,0,0.0475987342,0.0475987342,0.0475987342,0.0397095534,0.0336177883,0.0193030065,0.01112284,0.0117514191,0.0054529261,0.0054529261,0.0053578083,0.0029156425,0.0026650584000000002,1.66104e-05,1.93656e-05,0,0.0053898933,0.0053898933,0.0053898933,0.0039597238,0.0028697247,0.0010196469,0.0,0.0,0.0053898933,0.0053898933,0.0053898933,0.0028697247,0.0028676149,0.0,0.0,0
pu_010,0.126710133,0.126710133,0.126710133,0.1264243556,0.1262027121,0.0811342376,0.05522437,0.05522437,0.126710133,0.126710133,0.1266909816,0.1262027121,0.12000489040000001,0.05522437,0.05522437,0,0.126710133,0.126710133,0.126710133,0.1264210494,0.1262027123,0.0802690003,0.0552244038,0.0552244046,0.126710133,0.126710133,0.1266909816,0.1262027125,0.1200048957,0.0552244254,0.0552244254,0,0.09267204180000001,0.09267204180000001,0.09267204180000001,0.0924695616,0.09231520230000001,0.0605819898,0.0429415537,0.0435117948,0.0355654684,0.0355654684,0.035561535400000004,0.0354612625,0.034315014500000005,0.0223342666,0.0223342666,0,0.0306981189,0.0306981189,0.0306981189,0.030646173000000002,0.0306060621,0.023383812,0.0192371834,0.0203243241,0.0005102739,0.0005102739,0.0005096476,0.0004935673,0.0004544016,2.8728000000000003e-05,3.34932e-05,0,0.00046512530000000004,0.00046512530000000004,0.00046512530000000004,0.0004557084,0.00044853140000000003,0.00015936850000000002,0.0,0.0,0.00046512530000000004,0.00046512530000000004,0.00046512530000000004,0.00044853140000000003,0.0004482016,0.0,0.0,0
pu_011,0.1238421745,0.12515283200000002,0.1265261564,0.1265261564,0.1265261564,0.08307656990000001,0.058097400900000006,0.058097400900000006,0.1238421745,0.1265084839,0.1265261564,0.1265261564,0.1205509644,0.058097400900000006,0.058097400900000006,0,0.12384217580000001,0.1251493346,0.1265261564,0.1265261564,0.1265261564,0.0822424117,0.058097432600000005,0.0580974333,0.1238421765,0.1265084839,0.1265261564,0.1265261564,0.12055096900000001,0.058097452800000005,0.058097452800000005,0,0.0906446662,0.0915540928,0.0925101655,0.0925101655,0.0925101655,0.061942312900000004,0.044948819200000004,0.0455592539,0.0349483569,0.0354374287,0.0354406704,0.0354406704,0.0343446616,0.0228890214,0.0228890214,0,0.030159792,0.0303679574,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.0236816724,0.0197172741,0.0208306234,0.0004605783,0.0004774061,0.00047751360000000004,0.00047751360000000004,0.0004411745,4.57436e-05,5.06237e-05,0,0.00041616040000000003,0.0004241191,0.0004324835,0.0004324835,0.0004324835,0.0001641898,1.63231e-05,1.63231e-05,0.00041616040000000003,0.0004324835,0.0004324835,0.0004324835,0.0004321775,1.63231e-05,1.63231e-05,0
pu_012,0.055413419000000005,0.09013959960000001,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.055413419000000005,0.12605791830000002,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0,0.0554134519,0.0900469348,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.0554134729,0.1260579187,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0.1265261564,0,0.0430833199,0.0671787929,0.0925101655,0.0925101655,0.0925101655,0.0925101655,0.0925101655,0.09408938210000001,0.0223967079,0.0353547831,0.0354406704,0.0354406704,0.0354406704,0.0354406704,0.0354406704,0,0.019290966,0.024806357600000002,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.030586100100000003,0.032290155200000004,2.88083e-05,0.0004746659,0.00047751360000000004,0.00047751360000000004,0.00047751360000000004,0.00047751360000000004,0.00048498300000000003,0,0.0,0.00021086570000000002,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0.0004324835,0
pu_013,0.0529063382,0.08676218150000001,0.12223678730000001,0.1260266353,0.1289659688,0.1289659688,0.1289659688,0.1289659688,0.0529063382,0.1217802845,0.1224907643,0.1289659688,0.1289659688,0.1289659688,0.1289659688,0,0.0529063834,0.08667184750000001,0.1222367905,0.1260704842,0.1289659688,0.1289659688,0.1289659688,0.1289659688,0.052906412400000005,0.12178029030000001,0.1224907694,0.1289659688,0.1289659688,0.1289659688,0.1289659688,0,0.0412032814,0.06495400650000001,0.0899246534,0.0926098511,0.094656894,0.094656894,0.094656894,0.0962497172,0.0215686402,0.0356206161,0.035765911500000004,0.0370956846,0.0370956846,0.0370956846,0.0370956846,0,0.0185777261,0.0245704242,0.0308508268,0.0315397093,0.0320716416,0.0320716416,0.0320716416,0.0338351852,2.7743200000000002e-05,0.0006861618000000001,0.0006987164000000001,0.0009119661,0.0009119661,0.0009119661,0.0009196962000000001,0,0.0,0.00031463,0.0006453032,0.0007701854000000001,0.0008653640000000001,0.0008653640000000001,0.0008653640000000001,0.0008653640000000001,0.0,0.0006453032,0.0006453032,0.0008653640000000001,0.0008653640000000001,0.0008653640000000001,0.0008653640000000001,0
pu_014,0.0267019699,0.0514609231,0.0774036857,0.1208055687,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267019699,0.0770698429,0.080312267,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0267021442,0.051394950700000004,0.0774037228,0.12130773310000001,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267022559,0.0770699052,0.0803123256,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0215528489,0.0417002199,0.0629005104,0.0936517793,0.1170948082,0.1170948082,0.1170948082,0.1188298498,0.0129135575,0.0383991406,0.0391653789,0.0543941308,0.0543941308,0.0543941308,0.0543941308,0,0.01112284,0.0221044147,0.0336177883,0.0415069691,0.0475987342,0.0475987342,0.0475987342,0.0499840598,1.66104e-05,0.0028967470000000003,0.0030107603,0.0054529261,0.0054529261,0.0054529261,0.0054633817000000005,0,0.0,0.0013991897000000001,0.0028697247,0.0042998941,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0.0,0.0028697247,0.0028697247,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0
pu_015,0.0267019699,0.0514609231,0.0774036857,0.1208055687,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267019699,0.0770698429,0.080312267,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0267021442,0.051394950700000004,0.0774037228,0.12130773310000001,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0.0267022559,0.0770699052,0.0803123256,0.1544672375,0.1544672375,0.1544672375,0.1544672375,0,0.0215528489,0.0417002199,0.0629005104,0.0936517793,0.1170948082,0.1170948082,0.1170948082,0.1188298498,0.0129135575,0.0383991406,0.0391653789,0.0543941308,0.0543941308,0.0543941308,0.0543941308,0,0.01112284,0.0221044147,0.0336177883,0.0415069691,0.0475987342,0.0475987342,0.0475987342,0.0499840598,1.66104e-05,0.0028967470000000003,0.0030107603,0.0054529261,0.0054529261,0.0054529261,0.0054633817000000005,0,0.0,0.0013991897000000001,0.0028697247,0.0042998941,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0.0,0.0028697247,0.0028697247,0.0053898933,0.0053898933,0.0053898933,0.0053898933,0
pu_016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pu_017,0.1406512566,0.1406512566,0.1406512566,0.0941030496,0.0580011522,0.0293737685,0.0129158845,0.0129158845,0.1406512566,0.1406512566,0.137531824,0.0580011522,0.0540643112,0.0129158845,0.0129158845,0,0.1406512566,0.1406512566,0.1406512566,0.0936162403,0.0580924323,0.0288922102,0.012970971500000001,0.0129723276,0.1406512566,0.1406512566,0.13753747630000002,0.0581509097,0.0542088837,0.0130062623,0.0130062623,0,0.12605804240000001,0.12605804240000001,0.12605804240000001,0.0841924986,0.052487689100000005,0.0256730209,0.0109955516,0.011088900300000001,0.1015746351,0.1015746351,0.09936335930000001,0.0429863594,0.0398983586,0.0076221311,0.0076221311,0,0.0898078019,0.0898078019,0.0898078019,0.0606641788,0.0381520276,0.0180008941,0.006565173400000001,0.0069361876,0.0168285891,0.0168285891,0.016504179100000002,0.0081689625,0.0074595652000000005,9.8041e-06,1.14304e-05,0,0.0167194421,0.0167194421,0.0167194421,0.0118416864,0.0081241201,0.0028865952,0.0,0.0,0.0167194421,0.0167194421,0.0167194421,0.0081241201,0.0081181473,0.0,0.0,0
pu_018,0.1270527008,0.1270527008,0.1270527008,0.1031763224,0.0846582607,0.0451776473,0.0224802412,0.0224802412,0.1270527008,0.1270527008,0.1254526231,0.0846582607,0.0792288824,0.0224802412,0.0224802412,0,0.1270527008,0.1270527008,0.1270527008,0.10292659130000001,0.084705033,0.0444771398,0.0225436848,0.0225452467,0.1270527008,0.1270527008,0.1254555193,0.084734997,0.079308007,0.0225843292,0.0225843292,0,0.11309661530000001,0.11309661530000001,0.11309661530000001,0.09162691440000001,0.07536780380000001,0.039086307800000004,0.019210538200000002,0.0193671688,0.0896821347,0.0896821347,0.0885487269,0.059652225,0.055626604600000004,0.013550243,0.013550243,0,0.0785942981,0.0785942981,0.0785942981,0.0636564812,0.0521176841,0.0263774149,0.0116712366,0.0123308069,0.0098262984,0.0098262984,0.009660015000000001,0.0053876207,0.004923276900000001,1.74293e-05,2.03204e-05,0,0.009723449700000001,0.009723449700000001,0.009723449700000001,0.0072232506,0.0053177317,0.0018894525,0.0,0.0,0.009723449700000001,0.009723449700000001,0.009723449700000001,0.0053177317,0.0053138221,0.0,0.0,0
pu_019,0.1127294081,0.1127294081,0.1127294081,0.1127294081,0.1127294081,0.061828142600000004,0.0325650032,0.0325650032,0.1127294081,0.1127294081,0.1127294081,0.1127294081,0.1057294604,0.0325650032,0.0325650032,0,0.1127294081,0.1127294081,0.1127294081,0.1127294081,0.1127294081,0.0608972536,0.032637228500000004,0.0326390065,0.1127294081,0.1127294081,0.1127294081,0.1127294081,0.10573980740000001,0.0326834988,0.0326834988,0,0.0994468186,0.0994468186,0.0994468186,0.0994468186,0.0994468186,0.05321086,0.0278688224,0.0280923471,0.0771622795,0.0771622795,0.0771622795,0.0771622795,0.0721526354,0.019791117,0.019791117,0,0.06679026960000001,0.06679026960000001,0.06679026960000001,0.06679026960000001,0.06679026960000001,0.035184928500000004,0.0170466913,0.0180100418,0.0024619067,0.0024619067,0.0024619067,0.0024619067,0.0022553342,2.54568e-05,2.9679400000000003e-05,0,0.0023656979000000002,0.0023656979000000002,0.0023656979000000002,0.0023656979000000002,0.0023656979000000002,0.0008405602,0.0,0.0,0.0023656979000000002,0.0023656979000000002,0.0023656979000000002,0.0023656979000000002,0.0023639586,0.0,0.0,0
